video_id,title,publishedAt,channelId,channelTitle,categoryId,viewCount,likeCount,commentCount
F7dJY0jkpyU,YoungBoy Never Broke Again - Where I Been / Shot Callin [Official Video],2025-05-03 00:42:17+00:00,UClW4jraMKz6Qj69lJf-tODA,YoungBoy Never Broke Again,10,1281171,170934,21087
KihGo9jd2As,RYAN GARCIA VS ROLANDO ROMERO | FIGHT HIGHLIGHTS,2025-05-03 02:41:31+00:00,UCurvRE5fGcdUgCYWgh-BDsg,DAZN Boxing,17,1352987,16855,4364
T2XTfmx7pCw,DDG - what i prefer (Official Music Video),2025-05-02 04:00:06+00:00,UC9OAeZY8zp976DwRvHGjuSA,DDGVEVO,10,799496,74280,8127
fZzB6kTXbrU,I was almost in Squid Game.,2025-05-02 17:02:27+00:00,UCGwu0nbY2wSkW8N-cghnLpA,JaidenAnimations,1,2814586,225478,8603
u0GCwJcOHxw,Why is Everything So Boring Now?,2025-05-02 19:13:08+00:00,UC7zsxKqd5MicTf4VhS9Y74g,Kurtis Conner,23,1126283,94187,8535
-K8jSo03dEk,"planes if they were 10,000 times better",2025-05-03 02:01:54+00:00,UCOsATJw-IZgqGT8MFrHjKGg,Ice Cream Sandwich,23,545548,62476,3388
ujP_-W5d3pE,Fortnite *SEASON 3* is HERE! (Star Wars),2025-05-02 13:38:09+00:00,UCqVCSWnuOSPm26orvNDTuWQ,TG Plays,20,868855,12637,934
YXYerrQNFcE,Kelly Clarkson - Where Have You Been (Official Music Video),2025-05-02 23:00:37+00:00,UCoRUmyNL8KEYftmxRA2n3SQ,Kelly Clarkson,10,337247,23363,1871
M5RiDEfnPVU,Ivan Cornejo - Me Prometí (Lyric Video),2025-05-02 00:00:06+00:00,UCW1QQBeFN9OU87lMcv3jClg,Ivan Cornejo,10,837638,82359,5844
MFA97mQk2W4,Athletic Club vs. Man. United: Extended Highlights | UEL Semi-final Leg 1 | CBS Sports Golazo,2025-05-01 21:27:36+00:00,UCf8YPuOWXlpTS7RibaJlP4g,CBS Sports Golazo - Europe,17,693313,7955,2450
1DtRwUruDz8,Jarahn - Laif Blo Today ft. Pettz (Audio),2025-04-29 14:51:48+00:00,UC44awJ49tZNNMliYVPQDdmA,Jarahn,10,29685,1552,156
vaGf8fmtBr4,Maroon 5 - Priceless ft. LISA (Official Video),2025-05-02 04:00:07+00:00,UCN1hnUccO4FD5WfM7ithXaw,Maroon5VEVO,10,5694425,499414,42039
Calj9oDA88c,Rejected bull just wants to be everyone's friend,2025-05-02 17:45:59+00:00,UC7_VH_kj0aD9vhuHmFheUYQ,GeoBeats Animals,15,363541,24560,1346
0u7defN21Zk,State of Origin 2025 Match Highlights | QLD Maroons v NSW Blues | Game 1,2025-05-01 11:44:37+00:00,UCME0EifJ3Xm3mGmLdBz1Kyw,NRLW - National Rugby League Women's,17,77251,934,116
MHwgretY6mA,"""Before the demon arrives, cloaked in its sweetest guise."" 💗",2025-05-02 13:00:37+00:00,UCDhz7pDsmSL-5TjuB3zmlWQ,CookieRun: Kingdom,20,533831,49061,3123
F3cqUonESsA,Paradise of Passion and Sloth 💞,2025-05-02 13:00:33+00:00,UCDhz7pDsmSL-5TjuB3zmlWQ,CookieRun: Kingdom,20,807124,74726,7180
xfRKIZIpzIc,Can We Drop A Coin Into A Piggy Bank From 45m?,2025-05-02 22:01:05+00:00,UC5f5IV0Bf79YLp_p9nfInRA,How Ridiculous,17,448679,19913,1560
